bloco;uap;code;ual;Floresta/interface;linha;declividade;formiga;samam;herb;cipo;arbus;arvor;serap;abdoss;drh;dafl;alt;lats;lonw
2;6;E_CSR;12;f;72sl;5.916666667;2.666666667;1.916666667;33.83333333;0;32;17.75;2.541666667;18.31666667;113.88375;54.355;305.625;-30.71628275;-55.51031925
2;4;E_CAL;8;f;72t;6.5;0.333333333;15.41666667;35.58333333;0;25.41666667;3.75;1.5;9.776666667;6.45625;35.92875;762.75;-29.01943838;-50.39701663
1;1;E_FAR;1;f;81a;8.333333333;0;5;89.5;0;1.666666667;62;5.833333333;12.03333333;34.79;66.23875;997.25;-29.16394713;-50.06422175
2;5;E_CAR2;9;f;81e;22.33333333;1.666666667;5.166666667;29.33333333;0;0;40;2.416666667;11.35;27.93125;18.435;402.875;-30.55614475;-52.56747375
1;2;E_CAR3;3;f;81h;11.66666667;0.333333333;1.25;60;0;17;15.625;2.25;36.66333333;91.4175;17.9475;237.875;-32.09341775;-53.62495863
3;7;E_FTR_FAR;13;f;81p;3.33;0.00;5.17;28.5;19.5;12.83333333;11.00;4.83;10.46;32.54;279.34875;928.00;-29.486475;-50.2025375
3;9;E_CCB;17;f;81sam;10.83;0.00;0.00;26.66666667;0;1;1.17;2.00;11.02;529.49375;22.62;121.25;-28.52955;-55.4294375
3;8;E_CAR1;15;f;81sb;2.83;0.00;0.00;21.83333333;0;5.833333333;3.33;2.58;13.01;106.4775;585.2775;95.50;-30.9363375;-53.0195
1;3;E_FSI;5;f;81sf;9.17;9.33;4.17;34.33333333;0;11.5;0.00;2.58;11.27;17.99625;12.52875;130.75;-29.62718988;-55.14410275
2;6;E_CSR;11;f;81sl;10.33;3.00;3.50;42;5;5.83;12.00;3.00;13.44;70.675;38.2675;268.75;-30.7236675;-55.51301638
2;4;E_CAL;7;f;81t;20.33;1.00;6.67;48.5;3.5;8.833333333;1.00;2.50;26.06;12.52;22.01;877.75;-29.01;-50.39
1;1;E_FAR;2;f;82a;5.83;0.00;0.00;37.50;0;10.33333333;7.67;2.25;22.73;78.86;93.70125;975.38;-29.1653605;-50.05115925
2;5;E_CAR2;10;f;82e;11.17;0.33;0.00;50.83;0.00;0.00;0.00;2.25;10.35;69.41;83.61;389.25;-30.56;-52.56
1;2;E_CAR3;4;f;82h;8;0;0;39.83333333;0;18.83333333;19;2;13.23666667;106.43;45.12;245.5;-32.09372563;-53.6188765
3;7;E_FTR_FAR;14;f;82p;32.5;0;0;26.5;0;62;16.5;8.666666667;11.39;111.915;10.74625;910.625;-29.4785625;-50.207925
3;9;E_CCB;18;f;82sam;4.166666667;0.666666667;0;21.5;13.5;5.333333333;1.333333333;1.5;11.15333333;928.9025;25.85875;135;-28.5321125;-55.4189125
3;8;E_CAR1;16;f;82sb;10;0;0;27.33333333;0;10.16666667;2.166666667;0.833333333;11.18;90.4275;29.97375;90.375;-30.9239;-53.029
1;3;E_FSI;6;f;82sf;5.833333333;6;0;12.5;1;16.5;7.166666667;1;25.42666667;152.8125;443.9575;118.75;-29.62819025;-55.13167438
2;6;E_CSR;12;f;82sl;4;0.666666667;0;31.33333333;19.33333333;10;26.66666667;3.2;12.64666667;104.79;38.5275;303.25;-30.71647;-55.51033788
2;4;E_CAL;8;f;82t;3.666666667;0;7.5;36.66666667;0;19.83333333;26.33333333;2;9.676666667;22.955;50.0475;764.25;-29.01925588;-50.39694688
